pays,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Autriche,70.72529,71.06709,72.1219,74.03432,72.54121,71.77602,76.25182,72.68636,68.96463,74.19278,86.33044,90.54397,91.4737,97.33756,94.3597,101.8692,100.7969,101.3391,94.91287
Belgique,126.6721,120.5397,119.2406,118.4241,114.8479,110.4701,108.3034,100.3739,94.14143,101.4708,109.8433,107.9802,110.6022,120.4748,118.4776,131.1118,127.6674,128.4397,121.8982
Finlande,53.01719,51.01093,48.40519,48.23621,49.1941,49.39707,46.53166,43.08167,39.09392,38.27919,49.23079,55.06467,57.52048,64.33859,64.77638,71.6879,75.05763,75.45644,73.23397
France,74.01518,72.42918,71.47308,75.16156,79.07757,80.54945,82.14224,77.26933,75.94181,82.50349,97.5731,100.9953,103.8066,111.9382,112.4676,120.1551,120.8252,125.4641,124.2476
Allemagne,60.46196,59.51911,58.75711,61.20459,64.5843,67.53011,70.06332,68.25689,64.18327,68.08314,75.47145,84.45005,84.18228,88.10569,83.27205,83.34541,78.96413,76.01376,71.52236
Grece,96.75497,111.6979,115.2994,116.6336,109.8932,114.3387,115.8159,115.2277,112.7846,117.449,135.0054,128.9748,110.907,164.1071,179.6891,180.8163,182.9426,185.7925,188.7342
Irlande,50.48343,38.71733,35.54811,34.04624,32.84788,31.51454,31.32907,27.64148,27.4556,47.47161,67.5424,83.4975,111.456,129.3562,131.7296,121.198,88.51808,84.13502,77.23739
Italie,123.7423,118.9894,118.1363,116.9578,114.2859,114.6943,117.4323,115.0135,110.6964,112.9941,125.9787,124.8795,117.9357,136.2351,143.6861,156.0584,157.0335,154.9009,152.6121
Luxembourg,18.22747,17.09558,17.2607,17.33995,18.52256,19.25899,17.68683,16.79293,16.54233,24.97517,23.07608,28.25642,27.36177,29.80518,30.31166,30.60889,30.71441,28.74364,30.51922
Pays-bas,67.43973,61.13335,57.117,57.63334,58.83407,59.02952,58.30821,52.13345,49.34428,61.88647,64.51055,68.6228,72.87821,78.48969,78.00165,82.44386,78.61735,76.60478,69.8344
Portugal,62.45652,62.01825,63.45905,66.81219,70.61915,76.65156,79.97653,79.40868,78.10067,82.76154,96.11205,104.0708,107.8454,137.1043,141.4286,151.4001,149.1519,145.3244,145.3845
Espagne,67.94803,65.16534,60.56855,59.25278,54.41895,52.51329,49.98066,45.68213,41.80709,47.20715,61.80851,66.5645,77.68712,92.52627,105.7336,118.4061,116.3134,116.5159,114.6811
