année,Autriche,Belgique,Finlande,France,Allemagne,Grece,Irlande,Italie,Luxembourg,Pays-bas,Portugal,Espagne
1999,70.72529,126.6721,53.01719,74.01518,60.46196,96.75497,50.48343,123.7423,18.22747,67.43973,62.45652,67.94803
2000,71.06709,120.5397,51.01093,72.42918,59.51911,111.6979,38.71733,118.9894,17.09558,61.13335,62.01825,65.16534
2001,72.1219,119.2406,48.40519,71.47308,58.75711,115.2994,35.54811,118.1363,17.2607,57.117,63.45905,60.56855
2002,74.03432,118.4241,48.23621,75.16156,61.20459,116.6336,34.04624,116.9578,17.33995,57.63334,66.81219,59.25278
2003,72.54121,114.8479,49.1941,79.07757,64.5843,109.8932,32.84788,114.2859,18.52256,58.83407,70.61915,54.41895
2004,71.77602,110.4701,49.39707,80.54945,67.53011,114.3387,31.51454,114.6943,19.25899,59.02952,76.65156,52.51329
2005,76.25182,108.3034,46.53166,82.14224,70.06332,115.8159,31.32907,117.4323,17.68683,58.30821,79.97653,49.98066
2006,72.68636,100.3739,43.08167,77.26933,68.25689,115.2277,27.64148,115.0135,16.79293,52.13345,79.40868,45.68213
2007,68.96463,94.14143,39.09392,75.94181,64.18327,112.7846,27.4556,110.6964,16.54233,49.34428,78.10067,41.80709
2008,74.19278,101.4708,38.27919,82.50349,68.08314,117.449,47.47161,112.9941,24.97517,61.88647,82.76154,47.20715
2009,86.33044,109.8433,49.23079,97.5731,75.47145,135.0054,67.5424,125.9787,23.07608,64.51055,96.11205,61.80851
2010,90.54397,107.9802,55.06467,100.9953,84.45005,128.9748,83.4975,124.8795,28.25642,68.6228,104.0708,66.5645
2011,91.4737,110.6022,57.52048,103.8066,84.18228,110.907,111.456,117.9357,27.36177,72.87821,107.8454,77.68712
2012,97.33756,120.4748,64.33859,111.9382,88.10569,164.1071,129.3562,136.2351,29.80518,78.48969,137.1043,92.52627
2013,94.3597,118.4776,64.77638,112.4676,83.27205,179.6891,131.7296,143.6861,30.31166,78.00165,141.4286,105.7336
2014,101.8692,131.1118,71.6879,120.1551,83.34541,180.8163,121.198,156.0584,30.60889,82.44386,151.4001,118.4061
2015,100.7969,127.6674,75.05763,120.8252,78.96413,182.9426,88.51808,157.0335,30.71441,78.61735,149.1519,116.3134
2016,101.3391,128.4397,75.45644,125.4641,76.01376,185.7925,84.13502,154.9009,28.74364,76.60478,145.3244,116.5159
2017,94.91287,121.8982,73.23397,124.2476,71.52236,188.7342,77.23739,152.6121,30.51922,69.8344,145.3845,114.6811
