date,s1,pays
1993-01-31,13.43,italie
1993-02-28,13.06,italie
1993-03-31,12.9,italie
1993-04-30,13.11,italie
1993-05-31,12.46,italie
1993-06-30,11.67,italie
1993-07-31,11.1,italie
1993-08-31,9.76,italie
1993-09-30,9.47,italie
1993-10-31,9.02,italie
1993-11-30,9.33,italie
1993-12-31,8.93,italie
1994-01-31,8.67,italie
1994-02-28,8.77,italie
1994-03-31,9.45,italie
1994-04-30,9.05,italie
1994-05-31,9.37,italie
1994-06-30,10.48,italie
1994-07-31,10.77,italie
1994-08-31,11.46,italie
1994-09-30,11.94,italie
1994-10-31,12.07,italie
1994-11-30,12.02,italie
1994-12-31,12.2,italie
1995-01-31,12.37,italie
1995-02-28,12.39,italie
1995-03-31,13.45,italie
1995-04-30,13.4,italie
1995-05-31,12.3,italie
1995-06-30,12.38,italie
1995-07-31,12.21,italie
1995-08-31,11.66,italie
1995-09-30,11.54,italie
1995-10-31,11.96,italie
1995-11-30,11.63,italie
1995-12-31,11.17,italie
1996-01-31,10.43,italie
1996-02-29,10.52,italie
1996-03-31,10.69,italie
1996-04-30,10.34,italie
1996-05-31,9.7,italie
1996-06-30,9.57,italie
1996-07-31,9.43,italie
1996-08-31,9.48,italie
1996-09-30,9.17,italie
1996-10-31,8.23,italie
1996-11-30,7.69,italie
1996-12-31,7.57,italie
1997-01-31,7.38,italie
1997-02-28,7.36,italie
1997-03-31,7.87,italie
1997-04-30,7.74,italie
1997-05-31,7.32,italie
1997-06-30,7.07,italie
1997-07-31,6.52,italie
1997-08-31,6.66,italie
1997-09-30,6.36,italie
1997-10-31,6.2,italie
1997-11-30,6.13,italie
1997-12-31,5.74,italie
1998-01-31,5.43,italie
1998-02-28,5.38,italie
1998-03-31,5.2,italie
1998-04-30,5.15,italie
1998-05-31,5.21,italie
1998-06-30,5.08,italie
1998-07-31,4.97,italie
1998-08-31,4.79,italie
1998-09-30,4.53,italie
1998-10-31,4.49,italie
1998-11-30,4.38,italie
1998-12-31,4,italie
1999-01-31,3.92,italie
1999-02-28,4.05,italie
1999-03-31,4.27,italie
1999-04-30,4.11,italie
1999-05-31,4.28,italie
1999-06-30,4.62,italie
1999-07-31,4.94,italie
1999-08-31,5.13,italie
1999-09-30,5.28,italie
1999-10-31,5.52,italie
1999-11-30,5.25,italie
1999-12-31,5.36,italie
2000-01-31,5.75,italie
2000-02-29,5.73,italie
2000-03-31,5.58,italie
2000-04-30,5.47,italie
2000-05-31,5.67,italie
2000-06-30,5.51,italie
2000-07-31,5.59,italie
2000-08-31,5.56,italie
2000-09-30,5.63,italie
2000-10-31,5.58,italie
2000-11-30,5.55,italie
2000-12-31,5.3,italie
2001-01-31,5.18,italie
2001-02-28,5.18,italie
2001-03-31,5.13,italie
2001-04-30,5.28,italie
2001-05-31,5.45,italie
2001-06-30,5.4,italie
2001-07-31,5.42,italie
2001-08-31,5.21,italie
2001-09-30,5.2,italie
2001-10-31,4.96,italie
2001-11-30,4.8,italie
2001-12-31,5.05,italie
2002-01-31,5.14,italie
2002-02-28,5.2,italie
2002-03-31,5.41,italie
2002-04-30,5.4,italie
2002-05-31,5.41,italie
2002-06-30,5.25,italie
2002-07-31,5.11,italie
2002-08-31,4.83,italie
2002-09-30,4.62,italie
2002-10-31,4.76,italie
2002-11-30,4.74,italie
2002-12-31,4.55,italie
2003-01-31,4.38,italie
2003-02-28,4.16,italie
2003-03-31,4.18,italie
2003-04-30,4.31,italie
2003-05-31,4.04,italie
2003-06-30,3.82,italie
2003-07-31,4.13,italie
2003-08-31,4.29,italie
2003-09-30,4.31,italie
2003-10-31,4.38,italie
2003-11-30,4.51,italie
2003-12-31,4.46,italie
2004-01-31,4.32,italie
2004-02-29,4.34,italie
2004-03-31,4.17,italie
2004-04-30,4.35,italie
2004-05-31,4.49,italie
2004-06-30,4.54,italie
2004-07-31,4.44,italie
2004-08-31,4.28,italie
2004-09-30,4.25,italie
2004-10-31,4.13,italie
2004-11-30,4,italie
2004-12-31,3.79,italie
2005-01-31,3.71,italie
2005-02-28,3.68,italie
2005-03-31,3.84,italie
2005-04-30,3.65,italie
2005-05-31,3.55,italie
2005-06-30,3.4,italie
2005-07-31,3.44,italie
2005-08-31,3.45,italie
2005-09-30,3.29,italie
2005-10-31,3.44,italie
2005-11-30,3.65,italie
2005-12-31,3.55,italie
2006-01-31,3.54,italie
2006-02-28,3.7,italie
2006-03-31,3.92,italie
2006-04-30,4.22,italie
2006-05-31,4.29,italie
2006-06-30,4.29,italie
